taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
252307	Robiginitalea biformata	2	976	117743	200644	49546	252306		252307
271155	Flavobacterium antarcticum	2	976	117743	200644	49546	237		271155
312277	Flavobacterium indicum	2	976	117743	200644	49546	237		312277
326329	Polaribacter dokdonensis	2	976	117743	200644	49546	52959		326329
344881	Flavobacterium soli	2	976	117743	200644	49546	237		344881
350894	Flavobacterium suncheonense	2	976	117743	200644	49546	237		350894
370974	Flavobacterium filum	2	976	117743	200644	49546	237		370974
370975	Flavobacterium croceum	2	976	117743	200644	49546	237		370975
426226	Flavobacterium subsaxonicum	2	976	117743	200644	49546	237		426226
453852	Joostella marina	2	976	117743	200644	49546	453850		453852
554283	Flavobacterium chungangense	2	976	117743	200644	49546	237		554283
712213	Capnocytophaga sp. oral taxon 332	2	976	117743	200644	49546	1016		712213
1165090	Imtechella halotolerans	2	976	117743	200644	49546	1165076		1165090
1183151	Myroides injenensis	2	976	117743	200644	49546	76831		1183151
1227265	Capnocytophaga sp. oral taxon 863	2	976	117743	200644	49546	1016		1227265
1341165	Flavobacterium enshiense	2	976	117743	200644	49546	237		1341165
1401027	Flavobacterium limnosediminis	2	976	117743	200644	49546	237		1401027
2898423	Flavobacterium salilacus	2	976	117743	200644	49546	237		2898423
